latent_step,raw_frame_idx,rms_contrast,optical_flow,unpredictability_h1_euclidean,unpredictability_h2_euclidean,unpredictability_h3_euclidean
0,0,0.42544326977918745,0.447430282831192,107.70333099365234,107.78456115722656,108.04218292236328
1,1,0.00015766160687422456,0.000539564061909914,107.52720642089844,107.9473648071289,108.3756332397461
2,2,1.011166111462878,0.8423111438751221,109.01673126220703,108.76431274414062,108.33457946777344
3,3,0.3571628587467767,0.2961684465408325,108.70508575439453,108.86729431152344,108.57521057128906
4,4,0.3083848739162719,0.2289566695690155,109.50800323486328,109.08793640136719,109.13511657714844
5,5,1.5048387036608035,2.204536199569702,107.36504364013672,108.2368392944336,107.95992279052734
6,6,0.4215563983577268,0.3479522168636322,109.62674713134766,109.44971466064453,109.36800384521484
7,7,1.5724927386583665,1.490364909172058,107.42560577392578,107.7044906616211,107.8445816040039
8,8,0.2292430422726921,0.17214550077915192,109.05956268310547,109.16140747070312,108.98934936523438
9,9,0.32897833127545983,0.25443899631500244,109.236083984375,109.00621795654297,108.88648986816406
10,10,0.41970477324190636,0.42326831817626953,109.46485137939453,109.60436248779297,109.46048736572266
11,11,0.8207756367452439,0.7493962049484253,108.05138397216797,108.07339477539062,108.170166015625
12,12,0.9738867352609946,0.820845365524292,107.91141510009766,107.5162353515625,107.79853820800781
13,13,1.8234694159014913,5.015369415283203,108.42613220214844,108.38331604003906,108.98147583007812
14,14,0.3345514449146757,0.2758702039718628,107.8510971069336,108.36536407470703,108.28292846679688
15,15,0.42479697530795424,0.3436163365840912,108.76844787597656,108.85995483398438,108.84171295166016
16,16,0.31027414852286606,0.2623845636844635,109.21765899658203,109.39551544189453,110.39397430419922
17,17,0.479708346082077,0.6292484998703003,108.2901840209961,107.7115707397461,107.76412200927734
18,18,1.0160405695161752,0.8184845447540283,109.63272094726562,109.53412628173828,109.45948791503906
19,19,0.8609669805421096,0.5207429528236389,108.72518920898438,109.07421112060547,108.87915802001953
20,20,1.3286400426832623,1.1697205305099487,109.84144592285156,109.72061920166016,109.49981689453125
21,21,0.8113311429900856,0.6478840112686157,108.07971954345703,108.17882537841797,108.18292999267578
22,22,0.009584275594625902,0.005943567492067814,108.57711791992188,108.33148193359375,108.09104919433594
23,23,0.4716893480013077,0.522322952747345,109.87022399902344,109.63394165039062,110.08804321289062
24,24,0.33770050753174047,0.2797834575176239,109.50723266601562,110.00727844238281,109.52596282958984
25,25,1.1999433369299528,0.7404472827911377,108.77659606933594,107.64102172851562,108.07740020751953
26,26,1.9098863901541072,3.3474066257476807,108.80029296875,109.6572036743164,109.47756958007812
27,27,0.34194667734509265,0.28472900390625,109.47565460205078,108.20480346679688,108.56108093261719
28,28,0.0,0.0003057651047129184,107.5337142944336,108.8847427368164,108.79998779296875
29,29,0.48129570651269055,0.3610762357711792,109.77389526367188,109.80017852783203,108.65248107910156
30,30,0.30075647969281005,0.24333006143569946,108.87467956542969,107.86165618896484,107.32756805419922
31,31,1.1427545659707503,0.7926404476165771,106.68995666503906,106.74435424804688,106.79913330078125
32,32,1.596854257678837,2.2751686573028564,108.3699951171875,108.40705871582031,108.81320190429688
33,33,1.5190783645674204,1.1657993793487549,107.54598999023438,108.07817840576172,108.25584411621094
34,34,0.9482953509477599,0.871429443359375,108.87451171875,108.7282485961914,109.01910400390625
35,35,0.2827887290903937,0.24915581941604614,107.90282440185547,107.88433074951172,107.61836242675781
36,36,0.3360663363513664,0.2800062596797943,109.60928344726562,109.04425048828125,109.84662628173828
37,37,0.7817376380447512,0.6259974241256714,108.38075256347656,108.83861541748047,109.22479248046875
38,38,0.34556232778389034,0.2580552101135254,111.04176330566406,110.74285125732422,109.79381561279297
39,39,0.5236974062548236,0.4886897802352905,108.37052917480469,107.71373748779297,107.79430389404297
40,40,1.5041652905249472,1.1759237051010132,108.7689437866211,109.23307800292969,109.15165710449219
41,41,0.4316366722379452,0.36969906091690063,109.177734375,109.07604217529297,109.12397003173828
42,42,0.7018228738131287,0.5995104312896729,109.48876953125,109.28156280517578,108.90825653076172
43,43,1.104553497929448,0.7558329105377197,108.34394073486328,107.86026000976562,107.789306640625
44,44,0.4258524684196731,0.31909888982772827,107.69039916992188,108.42257690429688,108.46063232421875
45,45,0.8011096929936055,0.7110738754272461,110.08472442626953,109.97195434570312,109.59615325927734
46,46,0.0,0.00031249006860889494,110.31454467773438,109.85926055908203,109.86105346679688
47,47,0.39333262863864626,0.2641882300376892,108.75869750976562,109.11852264404297,108.92727661132812
48,48,0.621850475577212,0.5700985193252563,108.03140258789062,108.14107513427734,108.09628295898438
49,49,1.0901395389766173,0.812822163105011,108.63050842285156,108.4765625,108.48341369628906
50,50,1.186935686152903,0.8356659412384033,109.36754608154297,109.35004425048828,109.08340454101562
