,latent_step,raw_frame_idx,rms_contrast,optical_flow,unpredictability_h4_euclidean,unpredictability_h8_euclidean,unpredictability_h12_euclidean
latent_step,1.0,1.0,0.24534591880130432,0.11283911073524813,-0.3705332607389086,-0.3506738869082762,-0.3403355346878212
raw_frame_idx,1.0,1.0,0.24534591880130432,0.11283911073524813,-0.3705332607389086,-0.3506738869082762,-0.3403355346878212
rms_contrast,0.24534591880130432,0.24534591880130432,1.0,0.7852018705649151,-0.12426337151097483,-0.11194550923960991,-0.09468950413826734
optical_flow,0.11283911073524813,0.11283911073524813,0.7852018705649151,1.0,-0.10123941222634514,-0.09603926920997514,-0.09158582225894868
unpredictability_h4_euclidean,-0.3705332607389086,-0.3705332607389086,-0.12426337151097483,-0.10123941222634514,1.0,0.9739985319424926,0.9138933242638514
unpredictability_h8_euclidean,-0.3506738869082762,-0.3506738869082762,-0.11194550923960991,-0.09603926920997514,0.9739985319424926,1.0,0.9631985668432759
unpredictability_h12_euclidean,-0.3403355346878212,-0.3403355346878212,-0.09468950413826734,-0.09158582225894868,0.9138933242638514,0.9631985668432759,1.0
