latent_step,raw_frame_idx,rms_contrast,optical_flow,unpredictability_h4_cosine,unpredictability_h4_euclidean,unpredictability_h8_cosine,unpredictability_h8_euclidean,unpredictability_h12_cosine,unpredictability_h12_euclidean
0,0,0.6362402667893917,1.1475235,0.5148112177848816,57.435211181640625,0.5119223594665527,57.54589080810547,0.5037320852279663,57.507991790771484
1,4,0.6435896922142177,0.8355727,0.5278019905090332,57.452823638916016,0.5368093848228455,57.71280288696289,0.5481691956520081,58.16886901855469
2,8,0.5393597784276069,0.5120528,0.5497024655342102,58.310386657714844,0.5479530096054077,58.33130645751953,0.5532340407371521,58.47120666503906
3,12,0.7827553558065173,0.8514275,0.5561158657073975,58.32633972167969,0.5235185623168945,57.454246520996094,0.5065219402313232,57.242366790771484
4,16,0.8566169396930164,0.84576124,0.5969942808151245,59.55894470214844,0.6527582406997681,61.30760192871094,0.674910306930542,62.247798919677734
5,20,0.9021419506273571,0.9419681,0.5635151863098145,58.586204528808594,0.5792249441146851,59.14069747924805,0.5882335901260376,59.8145866394043
6,24,0.025939140093123626,0.014058183,0.6775180101394653,62.25081253051758,0.6920861005783081,62.7112922668457,0.6996065974235535,63.36995315551758
7,28,1.2217811610580505,1.0201197,0.6639472842216492,61.789154052734375,0.6818180084228516,62.599952697753906,0.700420081615448,63.48861312866211
8,32,0.27578953880852886,0.107222386,0.7464394569396973,64.70935821533203,0.7363091707229614,64.6318588256836,0.7280461192131042,64.61479949951172
9,36,0.9657413832247169,0.6042948,0.516105055809021,57.3002815246582,0.6347112655639648,61.456878662109375,0.6741845607757568,62.85476303100586
10,40,0.03726429617945879,0.020192256,0.6849409341812134,62.49186706542969,0.6784619688987732,62.9108772277832,0.6709954738616943,62.87712478637695
11,44,0.5331317073548816,0.53208804,0.6419720649719238,61.56989288330078,0.6593282222747803,62.412227630615234,0.6640995144844055,62.507686614990234
12,48,0.0032294818267686325,0.0029735602,0.5797731876373291,59.901092529296875,0.6071306467056274,60.964317321777344,0.6078557968139648,60.86854553222656
13,52,0.7170045108835972,0.5661621,0.5655977725982666,59.93830871582031,0.5886673927307129,60.65683364868164,0.6019005179405212,60.70481491088867
14,56,0.5647264634889461,0.5993275,0.6071655750274658,61.22322082519531,0.6208372116088867,61.63793182373047,0.630577802658081,61.57585525512695
