latent_step,raw_frame_idx,rms_contrast,optical_flow,unpredictability_h4,unpredictability_h8,unpredictability_h12
0,0,42.261366870400636,0.2322455,0.3633357584476471,0.376679003238678,0.3884866237640381
1,4,41.71979302125375,0.40507844,0.36981576681137085,0.3659864366054535,0.3637286126613617
2,8,41.383547345301096,0.51621604,0.5381962060928345,0.4883478283882141,0.49875614047050476
3,12,41.57044004146812,0.32382366,0.3609998822212219,0.3622366189956665,0.35721051692962646
4,16,41.875523213281745,0.20884971,0.35802075266838074,0.38708215951919556,0.4114135503768921
5,20,41.97970261552397,0.16520774,0.4043102264404297,0.39210939407348633,0.36859774589538574
6,24,41.82819086104952,0.23430851,0.44105297327041626,0.42786282300949097,0.4229985177516937
7,28,41.72844019878653,0.3238794,0.36832982301712036,0.3524920642375946,0.35479462146759033
8,32,41.61663292471367,0.23972985,0.6258121728897095,0.6322778463363647,0.6312112212181091
9,36,41.71843870727796,0.28000626,0.4642854928970337,0.4369884729385376,0.40792155265808105
10,40,41.658979457316434,0.25286832,0.31263041496276855,0.2948581278324127,0.33031827211380005
11,44,41.279531241040075,0.48326287,0.40592727065086365,0.3502954840660095,0.3427293300628662
12,48,41.12016512219508,0.27978343,0.41596224904060364,0.41287103295326233,0.407613605260849
13,52,41.0037481858014,0.0059435675,0.3319960832595825,0.3411289155483246,0.3357158601284027
14,56,40.53155117318032,0.55213064,0.5002798438072205,0.5164516568183899,0.5120809078216553
15,60,40.42168413895166,0.68094915,0.28885531425476074,0.3075760304927826,0.29538217186927795
16,64,40.801127909788356,0.51985884,0.3577641248703003,0.3589075207710266,0.3452323377132416
17,68,42.34449008411097,0.6500452,0.3448232412338257,0.33432233333587646,0.32301270961761475
18,72,44.56865359169756,0.72145486,0.5205252170562744,0.4790305197238922,0.4626113474369049
19,76,46.232622924520534,3.2139912,0.30728721618652344,0.29925537109375,0.29583263397216797
20,80,44.51823403125151,4.0989165,0.3216300904750824,0.3112991452217102,0.30811768770217896
21,84,42.14105725000185,2.8163977,0.32155847549438477,0.31825751066207886,0.315416544675827
22,88,43.630438315007616,6.1982083,0.3343527913093567,0.33355483412742615,0.32437631487846375
23,92,43.94904563708833,3.085702,0.4434494376182556,0.4707152843475342,0.34246811270713806
24,96,42.90714276384633,1.2699069,0.42966413497924805,0.44926634430885315,0.47488299012184143
25,100,42.45704399299179,1.29186,0.46595299243927,0.4639228880405426,0.4650808274745941
26,104,42.49291038789706,0.00053956406,0.39932364225387573,0.412763774394989,0.413993239402771
27,108,43.063749293113304,0.7736209,0.4972018599510193,0.5260701775550842,0.5365045070648193
28,112,44.069721123844744,0.81848454,0.3486972451210022,0.3299418091773987,0.3399425446987152
29,116,44.826023275803834,0.6304324,0.4281282126903534,0.43506887555122375,0.4445478916168213
30,120,45.22331131128743,0.76480556,0.4475267231464386,0.45221632719039917,0.47214022278785706
31,124,45.05949858904093,0.7246626,0.4885860085487366,0.5577799677848816,0.5916061401367188
32,128,44.78588510072889,0.72017324,0.36642736196517944,0.3698117136955261,0.42239364981651306
33,132,45.32756636826174,0.8934213,0.608829915523529,0.6192063093185425,0.6378207802772522
34,136,45.50338454777547,0.9590862,0.3462693691253662,0.35504448413848877,0.35757365822792053
35,140,44.452003690412894,0.6077902,0.39275702834129333,0.42377814650535583,0.4127916991710663
