latent_step,raw_frame_idx,rms_contrast,optical_flow,unpredictability_h4,unpredictability_h8,unpredictability_h12
0,0,59.11378191162381,0.30814993,0.3059045672416687,0.3159477412700653,0.32677504420280457
1,4,59.28622209732616,0.36435193,0.40594756603240967,0.3991793692111969,0.40212297439575195
2,8,58.956904820846724,0.41142094,0.3826664686203003,0.3847429156303406,0.39646467566490173
3,12,59.03886088720542,0.42097786,0.23437251150608063,0.23435401916503906,0.2513706386089325
4,16,58.41056255833086,0.58540815,0.2658426761627197,0.26442623138427734,0.2781059443950653
5,20,57.898303680069645,0.45162854,0.509753406047821,0.5291755795478821,0.5453131198883057
6,24,57.852328123018516,0.52477187,0.2305101454257965,0.24926042556762695,0.271696001291275
7,28,58.191775503798226,0.49412638,0.33370691537857056,0.3467332124710083,0.369138240814209
8,32,58.02386443466733,0.7158587,0.282944917678833,0.29366135597229004,0.31370124220848083
9,36,58.269224281604515,0.63615143,0.4216086268424988,0.42525413632392883,0.4414117634296417
10,40,58.73652711667539,0.61491746,0.25249069929122925,0.2633315920829773,0.2732590138912201
11,44,58.8758623774662,0.6809177,0.5111554265022278,0.5124748349189758,0.5013763904571533
12,48,58.86124835187712,0.00021592059,0.2707279920578003,0.2771456837654114,0.2911548614501953
13,52,58.9874595664427,0.6744387,0.4291042685508728,0.4398963451385498,0.43524014949798584
14,56,59.40224712495273,0.63682073,0.47568535804748535,0.4841970205307007,0.4851844310760498
15,60,59.41784117781965,0.6381488,0.27545812726020813,0.28812557458877563,0.294902503490448
16,64,59.712073430743246,0.61048687,0.2776722013950348,0.28498536348342896,0.2892269790172577
17,68,59.892318228401024,0.6598583,0.29745352268218994,0.3019102215766907,0.3110505938529968
18,72,59.99979798930873,0.5778134,0.44964852929115295,0.44644877314567566,0.45138442516326904
19,76,60.3946875355722,0.5955074,0.2700711488723755,0.26822587847709656,0.27061355113983154
20,80,60.547296840787276,0.5938047,0.34725847840309143,0.3550891876220703,0.36679813265800476
21,84,60.165819133465355,0.5199945,0.5150452852249146,0.5132367610931396,0.515281617641449
22,88,59.58043441917421,0.5224668,0.25853487849235535,0.2655085325241089,0.2743627727031708
23,92,58.20282711289402,0.47216994,0.3683646321296692,0.3680967092514038,0.3661611080169678
24,96,58.076469006016154,0.5231816,0.48548340797424316,0.4719668924808502,0.47854378819465637
25,100,57.7426486050708,0.00020718548,0.27884966135025024,0.28672128915786743,0.287758469581604
26,104,57.35806956395142,0.5020349,0.33639904856681824,0.34210503101348877,0.3426274061203003
27,108,56.9437922568464,0.49232906,0.42413651943206787,0.4352273941040039,0.4269043505191803
28,112,57.27803057631245,0.6605879,0.38384050130844116,0.37891289591789246,0.3798980712890625
29,116,57.739840297674284,0.6055507,0.40567880868911743,0.41528964042663574,0.4224090874195099
30,120,58.03370019034479,0.7580134,0.48382940888404846,0.49064111709594727,0.484110951423645
31,124,57.66018622132376,0.7283978,0.4246369004249573,0.3997839689254761,0.39463010430336
32,128,57.43735252351738,0.78240097,0.3015284538269043,0.29905837774276733,0.307451456785202
33,132,57.26128203521022,0.85059696,0.3472916781902313,0.3384917974472046,0.34755900502204895
34,136,57.757580798208195,1.02687,0.7517455816268921,0.7483509182929993,0.7450116276741028
35,140,58.41645510412547,0.9352328,0.4409036338329315,0.4562057852745056,0.46065840125083923
36,144,59.720305706090166,0.9055247,0.3969176709651947,0.40536096692085266,0.41207340359687805
