latent_step,raw_frame_idx,rms_contrast,optical_flow,unpredictability_h2_euclidean,unpredictability_h4_euclidean,unpredictability_h8_euclidean
0,0,1.2672488927837535,1.0308117,104.28826141357422,104.5633773803711,104.67752075195312
1,2,1.5190783645674204,1.1657994,105.19503784179688,104.82152557373047,105.01335906982422
2,4,0.19020395976281074,0.06657041,106.68510437011719,105.81328582763672,105.3345947265625
3,6,1.3985294761404043,1.3392699,106.67659759521484,105.35027313232422,105.35012817382812
4,8,1.1347159279170538,1.3217747,107.296875,105.55976867675781,105.22020721435547
5,10,1.149823654099706,1.1829784,107.66890716552734,105.30351257324219,104.84992218017578
6,12,1.0561670583956506,0.82397455,108.2335205078125,105.70053100585938,105.5277099609375
7,14,0.7817376380447512,0.6259974,107.89511108398438,105.6146240234375,105.57335662841797
8,16,0.7573191943967438,0.54572076,105.57747650146484,104.6774673461914,107.56765747070312
9,18,1.0034969457236453,0.77495277,105.86399841308594,104.85823822021484,104.89764404296875
10,20,0.900471583858334,0.74424726,106.62139129638672,105.36289978027344,105.51929473876953
11,22,0.8161777198620906,0.6893441,105.95746612548828,105.52391815185547,105.25325012207031
12,24,0.8439695859969751,0.6064637,104.29297637939453,104.65904235839844,104.84101867675781
13,26,0.9738867352609946,0.82084537,107.17182922363281,104.66327667236328,105.65254974365234
14,28,1.055314416475161,0.66748303,109.01385498046875,105.67420959472656,106.48896026611328
15,30,0.840140901473933,0.5555598,107.51174926757812,105.51472473144531,106.12857055664062
16,32,0.9152131850523799,0.6077901,105.74674224853516,105.69200897216797,106.33464813232422
17,34,1.0508213614347064,0.75841916,108.85493469238281,105.8212890625,106.45394897460938
18,36,1.2619944568857777,0.9590862,106.55397033691406,107.15908813476562,106.55390930175781
19,38,1.1427545659707503,0.79264045,106.27069091796875,107.10758972167969,106.30094909667969
20,40,1.1927325662629085,0.8934213,109.46895599365234,107.60438537597656,107.13029479980469
21,42,0.0,0.00031249007,108.85050964355469,107.88471221923828,107.08197021484375
22,44,0.8815639152495077,0.7201733,106.36560821533203,106.04684448242188,105.54208374023438
23,46,0.890015568585533,0.5780578,105.84585571289062,105.69244384765625,105.13314819335938
24,48,0.9967882112655214,0.72466266,109.36222076416016,106.37654876708984,107.48106384277344
25,50,1.011166111462878,0.84231114,105.87545776367188,105.56851196289062,105.30743408203125
26,52,1.0744638836261418,0.7648055,109.60733032226562,107.04339599609375,108.61507415771484
