latent_step,raw_frame_idx,rms_contrast,optical_flow,unpredictability_h4_cosine,unpredictability_h4_euclidean,unpredictability_h8_cosine,unpredictability_h8_euclidean,unpredictability_h12_cosine,unpredictability_h12_euclidean
0,0,1.4219883283260366,1.0057677,0.5773597955703735,59.22031021118164,0.5666775107383728,58.99995422363281,0.5646376609802246,59.158870697021484
1,4,1.5873832684600693,1.221418,0.5510283708572388,58.17688751220703,0.561220109462738,58.85207748413086,0.6195449233055115,60.867679595947266
2,8,1.4481492705587737,1.5710807,0.5705974102020264,58.9333381652832,0.5872724056243896,59.72623062133789,0.6185150742530823,60.89716720581055
3,12,1.4852473249382032,1.7113336,0.5521820187568665,58.64767837524414,0.5412675142288208,58.54023361206055,0.5446026921272278,58.931610107421875
4,16,1.3434928830123798,1.6137173,0.5564734935760498,58.804561614990234,0.5534169673919678,58.97853088378906,0.5517781376838684,59.096866607666016
5,20,1.225545144846184,1.3946971,0.6012074947357178,60.41798400878906,0.6098130345344543,60.919097900390625,0.6142439246177673,61.1778678894043
6,24,1.2528215855950775,1.1850104,0.5798320174217224,59.84312438964844,0.5778514742851257,60.00639724731445,0.5750294327735901,60.00051498413086
7,28,0.844173123883339,0.9178275,0.5146588087081909,57.79259490966797,0.5064413547515869,57.79534912109375,0.5022714734077454,57.727725982666016
8,32,0.6646158958939317,0.8066626,0.5782454013824463,60.04894256591797,0.6004557609558105,60.82966613769531,0.6343792080879211,61.841617584228516
9,36,0.753857786990124,0.49767774,0.6292736530303955,61.64802551269531,0.6600857973098755,62.6005973815918,0.6704515814781189,62.78233337402344
10,40,0.6040413175206537,0.6099007,0.6834886074066162,63.468475341796875,0.665206253528595,62.89226531982422,0.6545844078063965,62.33710861206055
11,44,0.6362091716716616,0.5518088,0.5499790906906128,59.41081237792969,0.5391675233840942,59.06773376464844,0.5415629744529724,58.9694709777832
12,48,0.6732273805299249,0.6404975,0.5683565139770508,59.970001220703125,0.5582804679870605,59.52825164794922,0.5586681962013245,59.291744232177734
13,52,0.7192693194173065,0.5837841,0.5248769521713257,58.60136032104492,0.5181577205657959,58.23876190185547,0.5394716858863831,58.690093994140625
14,56,0.6537760165059631,0.59984887,0.5526176691055298,59.45314025878906,0.5470376014709473,58.93360137939453,0.5444605350494385,58.54368209838867
15,60,0.7361817997030399,0.4690252,0.5767890810966492,60.20203399658203,0.5809622406959534,59.9864387512207,0.5872249007225037,59.75312805175781
16,64,0.9055282859920075,0.8185165,0.5412558317184448,58.95631790161133,0.5368940830230713,58.55028533935547,0.5447644591331482,58.416255950927734
17,68,0.6545142369600424,0.6897403,0.612614095211029,60.872161865234375,0.5785779356956482,59.51531982421875,0.5626047253608704,58.67195510864258
18,72,0.9249961417548465,0.6085071,0.5923587083816528,60.04026412963867,0.5745907425880432,59.177024841308594,0.567216157913208,58.68545150756836
19,76,1.1577517668733657,1.1822896,0.504228949546814,57.543209075927734,0.49701762199401855,56.91080856323242,0.4978811740875244,56.82505416870117
20,80,1.062556858417817,0.84900117,0.5373032689094543,58.159175872802734,0.5482943058013916,58.01634216308594,0.5519688725471497,58.023468017578125
21,84,1.1626263347290569,1.1864171,0.5868638157844543,59.4279670715332,0.5933288335800171,59.2552490234375,0.6008970141410828,59.471466064453125
22,88,1.4243040756225904,0.8591839,0.45570093393325806,56.17513656616211,0.4770888090133667,56.566490173339844,0.5919073820114136,59.158695220947266
23,92,1.901556309063751,1.2515419,0.6100003719329834,59.62436294555664,0.6183376312255859,59.86298370361328,0.6191720962524414,59.87003707885742
24,96,1.8002291496003708,2.5452337,0.617389440536499,59.79420471191406,0.624370813369751,60.0318603515625,0.6242995262145996,60.05838394165039
25,100,2.2147343903712375,2.7428916,0.5068598389625549,56.360687255859375,0.5057529211044312,56.64863586425781,0.5016869902610779,56.62419509887695
26,104,1.8700621060846896,2.1642685,0.632043719291687,60.18920135498047,0.6338866949081421,60.34269714355469,0.6376680731773376,60.51033401489258
27,108,0.9232299907021213,1.4940876,0.5969688892364502,59.168304443359375,0.5924086570739746,59.02435302734375,0.5926114916801453,59.11640548706055
28,112,0.7888193927573012,0.9887326,0.5573513507843018,58.02238082885742,0.5552279949188232,58.00678634643555,0.5617707967758179,58.2667350769043
29,116,0.9390575950359117,0.74636465,0.6028724908828735,59.50584411621094,0.6240419149398804,60.15179443359375,0.637052595615387,60.615631103515625
30,120,0.9102134168320507,0.69460404,0.47716304659843445,55.904083251953125,0.49735626578330994,56.514923095703125,0.5101867318153381,56.92036437988281
31,124,0.8061509593893879,0.6450867,0.6089506149291992,59.581504821777344,0.6028636693954468,59.50834655761719,0.596442461013794,59.35823440551758
32,128,0.7043904539090563,0.4231118,0.5949352383613586,59.260433197021484,0.5964999198913574,59.37560272216797,0.5944457650184631,59.322967529296875
33,132,0.5277557311979911,0.46857256,0.5982756614685059,59.33198547363281,0.5957038998603821,59.353973388671875,0.5866876244544983,59.03767395019531
34,136,0.4942973490526775,0.33339053,0.5795954465866089,58.85941696166992,0.5941394567489624,59.3397216796875,0.5985750555992126,59.349700927734375
35,140,0.38877923471508885,0.35336137,0.6126846075057983,59.86817932128906,0.5894953608512878,59.20880126953125,0.578220546245575,58.74564743041992
36,144,0.46514279971444983,0.36484572,0.6398357152938843,60.78520965576172,0.6239888668060303,60.24348449707031,0.6168209314346313,59.83723831176758
37,148,0.5086140902184945,0.381647,0.6846403479576111,62.244197845458984,0.662497878074646,61.398311614990234,0.6555641293525696,61.07487869262695
38,152,0.7571893478468334,0.47240904,0.6616491079330444,61.46683120727539,0.6619154810905457,61.23960494995117,0.6623442769050598,61.15980529785156
39,156,0.8600765413420436,0.5401733,0.6816244721412659,62.15361022949219,0.6673932075500488,61.414581298828125,0.6560925841331482,60.906497955322266
40,160,0.6999915866181446,0.50640607,0.6020708084106445,59.544246673583984,0.5996174812316895,59.20882034301758,0.6000645160675049,59.13884353637695
41,164,0.9369128731092659,0.35791534,0.6057478785514832,59.50613784790039,0.5844777822494507,58.714969635009766,0.5692346096038818,58.17434310913086
42,168,0.8601170631048789,0.46242794,0.601238489151001,59.17331314086914,0.5951420664787292,58.94455337524414,0.5770412683486938,58.36203384399414
43,172,0.5582598405443862,0.43439966,0.619552493095398,59.80173873901367,0.6059181690216064,59.27738571166992,0.5896723866462708,58.716033935546875
