latent_step,raw_frame_idx,rms_contrast,optical_flow,unpredictability_h4,unpredictability_h8,unpredictability_h12
0,0,36.97460702336564,0.13604492,0.35482147336006165,0.35386955738067627,0.3677152097225189
1,4,36.692014322589934,0.11402169,0.39957794547080994,0.40102437138557434,0.4144725501537323
2,8,36.25227771064727,0.35404384,0.40024784207344055,0.41811269521713257,0.4367685317993164
3,12,36.92934774946559,0.0019199209,0.5018553733825684,0.5034208297729492,0.5305805802345276
4,16,37.88717036126742,0.50860244,0.414507120847702,0.4136624038219452,0.44090792536735535
5,20,38.09938383409659,0.5240897,0.3685418665409088,0.3996327817440033,0.4200190603733063
6,24,37.7960628587962,0.5170984,0.43334606289863586,0.47058555483818054,0.4941944181919098
7,28,37.554398491102525,0.53566813,0.46485435962677,0.4937320947647095,0.5016657710075378
8,32,37.79263322666416,0.5455705,0.3526790738105774,0.3688034117221832,0.3679233491420746
9,36,38.112459049210976,0.50330037,0.3937498927116394,0.40552347898483276,0.3934638798236847
10,40,38.036895290975295,0.4693444,0.43670183420181274,0.44292521476745605,0.4299752414226532
11,44,40.26332249215478,2.4081402,0.5502037405967712,0.5471182465553284,0.5324890613555908
12,48,43.86771313649174,0.5931818,0.399955689907074,0.3974809944629669,0.3759079873561859
13,52,45.211312191657555,0.5730487,0.441741019487381,0.39957430958747864,0.39267048239707947
14,56,46.45019228387524,0.46216884,0.5629690885543823,0.528259813785553,0.5139684677124023
15,60,47.4860067213414,0.42898905,0.35213717818260193,0.3426705002784729,0.3584100902080536
16,64,48.102059074303035,0.0001986371,0.43884551525115967,0.4359431862831116,0.42828574776649475
17,68,47.07035683812082,0.42745554,0.3141925036907196,0.3135659098625183,0.3130057752132416
18,72,46.6648995388385,0.37693447,0.4569225311279297,0.45797353982925415,0.4493497908115387
19,76,46.70712217717845,0.3282176,0.34240293502807617,0.3486971855163574,0.3502301275730133
20,80,47.14332543647283,0.38177037,0.3173382878303528,0.31845736503601074,0.3266567885875702
21,84,47.14080814924943,0.32038167,0.4420092701911926,0.4319201707839966,0.4221597909927368
22,88,46.79690346262578,0.29309422,0.4167313575744629,0.4091911315917969,0.41375648975372314
23,92,47.123221394347404,0.29540372,0.49006175994873047,0.47501611709594727,0.4759575426578522
24,96,47.56340260208556,0.2644173,0.348659873008728,0.27007317543029785,0.27333876490592957
25,100,47.80343753311201,0.21560392,0.4206441640853882,0.4029703140258789,0.3992224931716919
26,104,47.85608820903564,0.27361998,0.47068774700164795,0.46703386306762695,0.45783230662345886
27,108,47.46636431891071,0.23043081,0.3692280650138855,0.3615906238555908,0.34999123215675354
28,112,47.60526201303574,0.2216202,0.3757358193397522,0.3745848536491394,0.3768656551837921
29,116,47.63085373984697,0.17164584,0.32044845819473267,0.33978891372680664,0.353458434343338
30,120,47.40307782160558,0.2297911,0.292184054851532,0.30573293566703796,0.317065566778183
31,124,47.48095570454186,0.16281591,0.39809364080429077,0.38992875814437866,0.39692798256874084
32,128,47.12693514638279,0.027185436,0.4423801898956299,0.45064452290534973,0.4775550365447998
33,132,46.333398913069026,0.13466461,0.46684327721595764,0.4645434021949768,0.459044486284256
