latent_step,raw_frame_idx,rms_contrast,optical_flow,unpredictability_h4,unpredictability_h8,unpredictability_h12
0,0,52.26122464347739,0.44777197,0.2533167600631714,0.26286008954048157,0.2650472819805145
1,4,52.41051451615034,0.4351468,0.40121161937713623,0.39226511120796204,0.38646814227104187
2,8,52.23303915674742,0.43001562,0.5747477412223816,0.5749282240867615,0.6274399161338806
3,12,53.30825539959597,0.43439966,0.36253267526626587,0.36150404810905457,0.35872378945350647
4,16,54.063484876112064,0.46242794,0.3639124631881714,0.3514350652694702,0.34987369179725647
5,20,54.47268912301531,0.35791534,0.5128567814826965,0.5051440000534058,0.49859297275543213
6,24,54.72093936286244,0.50640607,0.2734319865703583,0.2640104591846466,0.3671354055404663
7,28,54.86417339679243,0.5401733,0.40975162386894226,0.4043293595314026,0.41545936465263367
8,32,54.43270567378346,0.47240904,0.47538962960243225,0.4678594768047333,0.4570595324039459
9,36,54.740552431097676,0.381647,0.49032679200172424,0.4750126302242279,0.503267228603363
10,40,54.619786606741535,0.36484572,0.33879077434539795,0.33190226554870605,0.3377118408679962
11,44,54.13665991105115,0.35336137,0.5439959764480591,0.5436242818832397,0.5337111353874207
12,48,53.8325637103002,0.33339053,0.41157546639442444,0.3938831090927124,0.35855939984321594
13,52,53.80944655747037,0.46857256,0.40428677201271057,0.4047051668167114,0.41044744849205017
14,56,54.096435926083714,0.4231118,0.26200205087661743,0.26981014013290405,0.29057565331459045
15,60,53.85132231982128,0.6450867,0.4347802698612213,0.45152148604393005,0.4713786840438843
16,64,53.82322570095816,0.69460404,0.3452059328556061,0.353356271982193,0.3435007631778717
17,68,52.43705939432045,0.74636465,0.519306480884552,0.4814228415489197,0.47847047448158264
18,72,51.479181709708875,0.9887326,0.28795745968818665,0.2632300853729248,0.25237300992012024
19,76,50.697473253756556,1.4940876,0.45567870140075684,0.43211886286735535,0.41638854146003723
20,80,49.71708477093595,2.1642685,0.309192419052124,0.31735706329345703,0.3295024633407593
21,84,47.23206918902668,2.7428916,0.3461547791957855,0.338644802570343,0.33957603573799133
22,88,45.447133218611945,2.5452337,0.3650848865509033,0.3712196946144104,0.38125643134117126
23,92,43.60934054257211,1.2515419,0.4065277874469757,0.4221777021884918,0.42982885241508484
24,96,42.08767316089385,0.8591839,0.5659228563308716,0.552398681640625,0.5509673357009888
25,100,43.13100547028979,1.1864171,0.3720420300960541,0.37245646119117737,0.3731909990310669
26,104,43.463954569863134,0.84900117,0.504584550857544,0.5220671892166138,0.5317550897598267
27,108,42.74578403642706,1.1822896,0.38378119468688965,0.39313966035842896,0.3940415382385254
28,112,42.27567892363763,0.6085071,0.6031568050384521,0.6076873540878296,0.5900256037712097
29,116,42.215039553283944,0.6897403,0.5327820777893066,0.5403028726577759,0.5306850075721741
30,120,41.65693427503126,0.8185165,0.6136910915374756,0.6109462380409241,0.5895078778266907
31,124,41.84484247694909,0.4690252,0.5023802518844604,0.4733019173145294,0.4280892312526703
32,128,42.11011485984926,0.59984887,0.28937435150146484,0.29339659214019775,0.29064077138900757
33,132,42.009627263130874,0.5837841,0.4760851562023163,0.47857558727264404,0.49293461441993713
34,136,41.6784134629867,0.6404975,0.3716490864753723,0.3616637587547302,0.358050137758255
35,140,41.73206161277318,0.5518088,0.343713641166687,0.3375340700149536,0.34563350677490234
36,144,41.86619967038956,0.6099007,0.39711377024650574,0.40197163820266724,0.42059388756752014
37,148,41.80667744928196,0.49767774,0.505253791809082,0.49843981862068176,0.5113183856010437
38,152,43.156132377355384,0.8066626,0.3914180397987366,0.4535392224788666,0.48121094703674316
39,156,42.687989354799534,0.9178275,0.42164695262908936,0.4110035300254822,0.4104475975036621
40,160,43.27514170293402,1.1850104,0.4853999614715576,0.5088685750961304,0.5129903554916382
41,164,42.314434986436844,1.3946971,0.554509699344635,0.6071676015853882,0.6261420845985413
42,168,41.8282429263814,1.6137173,0.388141393661499,0.41161948442459106,0.41536545753479004
43,172,42.37786863144913,1.7113336,0.5158675909042358,0.5254554748535156,0.5177178978919983
