latent_step,raw_frame_idx,rms_contrast,optical_flow,unpredictability_h4,unpredictability_h8,unpredictability_h12
0,0,47.76888590302131,0.39499092,0.3382083773612976,0.3356434106826782,0.3539981544017792
1,4,47.67251795343645,0.3259704,0.4894181489944458,0.4935494065284729,0.4963432252407074
2,8,47.690757839233456,0.36871707,0.4420330822467804,0.4198586642742157,0.4177578389644623
3,12,47.69436961817926,0.30799073,0.3895428478717804,0.3680955767631531,0.3744186460971832
4,16,47.82879374595224,0.3048061,0.4418668746948242,0.4257184863090515,0.42256733775138855
5,20,48.307551946678096,0.37690315,0.473156601190567,0.4854655861854553,0.5105481743812561
6,24,48.67680076425721,0.5687751,0.3416765332221985,0.32710182666778564,0.343826562166214
7,28,48.44705716908088,0.46328247,0.5091525316238403,0.5103594064712524,0.5191687941551208
8,32,47.71740738875644,0.45913517,0.27047425508499146,0.3785897195339203,0.40263497829437256
9,36,47.70370892721467,0.5711658,0.49771833419799805,0.49932995438575745,0.5008552670478821
10,40,47.88878358349191,0.002612414,0.45686888694763184,0.49313440918922424,0.5060638785362244
