latent_step,raw_frame_idx,rms_contrast,optical_flow,unpredictability_h4_cosine,unpredictability_h4_euclidean,unpredictability_h8_cosine,unpredictability_h8_euclidean,unpredictability_h12_cosine,unpredictability_h12_euclidean
0,0,0.900471583858334,0.7442472,0.4547182619571686,56.85189437866211,0.44525831937789917,56.59538650512695,0.44814053177833557,56.738372802734375
1,4,0.8439695859969751,0.6064637,0.5015161037445068,57.326385498046875,0.4827927350997925,56.69306182861328,0.47282055020332336,56.63175582885742
2,8,1.055314416475161,0.667483,0.5349499583244324,58.42102813720703,0.48332780599594116,57.300567626953125,0.48116257786750793,57.5312385559082
3,12,0.9152131850523799,0.6077902,0.5909992456436157,59.61344528198242,0.5277512073516846,58.33815383911133,0.5228211283683777,58.3782958984375
4,16,1.2619944568857777,0.9590862,0.5240763425827026,57.818721771240234,0.48886939883232117,57.31290054321289,0.4933498799800873,57.61383056640625
5,20,1.1927325662629085,0.8934213,0.5832412242889404,59.419918060302734,0.5041120648384094,58.13544845581055,0.5091073513031006,58.58857727050781
6,24,0.8815639152495077,0.72017324,0.4592171311378479,56.43009948730469,0.4581933617591858,56.71604919433594,0.47840312123298645,57.72736740112305
7,28,0.9967882112655214,0.7246626,0.4639795422554016,56.82154846191406,0.44886550307273865,56.688743591308594,0.4648055136203766,57.458953857421875
8,32,1.0744638836261418,0.76480556,0.5766268968582153,59.44106674194336,0.48190760612487793,57.90548324584961,0.5589422583580017,59.77390670776367
9,36,0.9275444419703635,0.6304324,0.506645143032074,57.96989059448242,0.49936583638191223,58.078914642333984,0.49931931495666504,58.14882278442383
10,40,1.0160405695161752,0.81848454,0.5194041728973389,58.6333122253418,0.5304479002952576,59.5224609375,0.5322780013084412,59.32679748535156
11,44,0.9325164207639399,0.7736209,0.5309790372848511,58.43877410888672,0.5301845669746399,58.82060623168945,0.5244171023368835,58.47097396850586
12,48,0.00015766160687422456,0.00053956406,0.6237480640411377,61.494224548339844,0.6849197745323181,63.73588562011719,0.6910362243652344,63.71555709838867
13,52,1.2121782650027735,1.29186,0.5924767255783081,60.86001968383789,0.5664976239204407,60.23115921020508,0.5274623036384583,58.82307434082031
14,56,1.7451256264918338,1.2699069,0.5595905184745789,60.05923080444336,0.5437506437301636,59.178619384765625,0.5348544120788574,58.6210823059082
15,60,1.7575552983278961,3.085702,0.5074195861816406,59.061527252197266,0.47627323865890503,57.80754089355469,0.4631153345108032,57.044830322265625
16,64,1.9201390931655846,6.1982083,0.5479845404624939,59.54094314575195,0.5502527952194214,58.989723205566406,0.5523727536201477,58.85287857055664
17,68,1.7016500306188929,2.8163977,0.5150340795516968,58.855918884277344,0.4958164095878601,57.67512130737305,0.5312583446502686,58.49574661254883
18,72,1.969101353055849,4.0989165,0.539315938949585,58.68498229980469,0.526326060295105,58.00440216064453,0.50847989320755,57.63563919067383
19,76,1.7346423931562756,3.2139912,0.5031181573867798,57.77253723144531,0.47507405281066895,56.99470138549805,0.4871031939983368,57.472259521484375
20,80,1.6007488483064773,0.72145486,0.6212030649185181,60.41521072387695,0.5838882923126221,59.36526870727539,0.6473246216773987,61.44075012207031
21,84,0.5418495832706279,0.6500452,0.5009487867355347,57.18149948120117,0.5384058952331543,58.36389923095703,0.5429643988609314,58.5882453918457
22,88,0.5506132166127011,0.51985884,0.5394830703735352,57.72234344482422,0.5397060513496399,58.00284194946289,0.5387348532676697,58.1301155090332
23,92,0.64382142510496,0.68094915,0.6428273916244507,60.679542541503906,0.6951935887336731,63.258094787597656,0.6892669796943665,62.953548431396484
24,96,0.537012503777113,0.55213064,0.5793761014938354,59.23199462890625,0.5819777250289917,59.61433029174805,0.6534367203712463,61.616058349609375
25,100,0.009584275594625902,0.0059435675,0.5549485087394714,58.90477752685547,0.5393266677856445,58.729488372802734,0.6074091792106628,60.2343864440918
26,104,0.33770050753174047,0.27978343,0.5469329357147217,58.626373291015625,0.6749809384346008,62.59071731567383,0.6845538020133972,62.960811614990234
27,108,0.45770442279681434,0.48326287,0.5973197221755981,60.259307861328125,0.5864907503128052,59.84515380859375,0.6101017594337463,60.30844497680664
28,112,0.33895572523528433,0.25286832,0.6685007214546204,62.58198928833008,0.4861920177936554,57.703346252441406,0.4973661005496979,57.892635345458984
29,116,0.3360663363513664,0.28000626,0.560478150844574,59.31036376953125,0.5219941139221191,57.968082427978516,0.5009090900421143,57.39424133300781
30,120,0.26286811479127714,0.23972985,0.5284983515739441,58.246803283691406,0.5020037889480591,57.1406135559082,0.49548590183258057,57.15982437133789
31,124,0.3439698640358681,0.3238794,0.5106609463691711,57.57463455200195,0.4915052056312561,56.86000442504883,0.48301073908805847,56.78592300415039
32,128,0.31090030082510733,0.23430851,0.4128558337688446,54.02335739135742,0.41083282232284546,54.04067611694336,0.4154469966888428,54.26262283325195
33,132,0.175417158767329,0.16520774,0.4482084810733795,55.20194625854492,0.4390376806259155,55.15055465698242,0.4376537799835205,55.1884651184082
34,136,0.2912850196389302,0.20884971,0.4600830078125,55.53087615966797,0.4498874843120575,55.58340835571289,0.4478103220462799,55.56243896484375
35,140,0.3323152112839411,0.32382366,0.5220894813537598,57.8376350402832,0.5178295373916626,58.05307388305664,0.5095825791358948,57.8624267578125
