,latent_step,raw_frame_idx,rms_contrast,optical_flow,unpredictability_h4_euclidean,unpredictability_h8_euclidean,unpredictability_h12_euclidean
latent_step,1.0,1.0,0.37694452708712484,0.5014258077778514,0.03971423531906559,0.06777962684420598,0.055343962158331074
raw_frame_idx,1.0,1.0,0.37694452708712484,0.5014258077778514,0.03971423531906559,0.06777962684420598,0.055343962158331074
rms_contrast,0.37694452708712484,0.37694452708712484,1.0,0.8930979787351173,0.008877230062055517,0.09561693989846368,0.12273677180302357
optical_flow,0.5014258077778514,0.5014258077778514,0.8930979787351173,1.0,-0.04744419003731709,0.06906511287323377,0.10273021812522433
unpredictability_h4_euclidean,0.03971423531906559,0.03971423531906559,0.008877230062055517,-0.04744419003731709,1.0,0.9427907690996084,0.9073728263414735
unpredictability_h8_euclidean,0.06777962684420598,0.06777962684420598,0.09561693989846368,0.06906511287323377,0.9427907690996084,1.0,0.9839250367313361
unpredictability_h12_euclidean,0.055343962158331074,0.055343962158331074,0.12273677180302357,0.10273021812522433,0.9073728263414735,0.9839250367313361,1.0
