,latent_step,raw_frame_idx,rms_contrast,optical_flow,unpredictability_h1_euclidean,unpredictability_h2_euclidean,unpredictability_h3_euclidean
latent_step,1.0,1.0,-0.03192254789316656,-0.06535570109889485,0.09720431056917225,0.1159618061858362,0.1195806086167291
raw_frame_idx,1.0,1.0,-0.03192254789316656,-0.06535570109889485,0.09720431056917225,0.1159618061858362,0.1195806086167291
rms_contrast,-0.03192254789316656,-0.03192254789316656,1.0,0.7983339400536376,-0.01312789081775646,0.023700743534224383,0.03479975115771154
optical_flow,-0.06535570109889485,-0.06535570109889485,0.7983339400536376,1.0,0.009421128625969537,0.03803281111921061,0.020934489144493442
unpredictability_h1_euclidean,0.09720431056917225,0.09720431056917225,-0.01312789081775646,0.009421128625969537,1.0,0.9300516500475787,0.9005393602171746
unpredictability_h2_euclidean,0.1159618061858362,0.1159618061858362,0.023700743534224383,0.03803281111921061,0.9300516500475787,1.0,0.975792015079899
unpredictability_h3_euclidean,0.1195806086167291,0.1195806086167291,0.03479975115771154,0.020934489144493442,0.9005393602171746,0.975792015079899,1.0
