,latent_step,raw_frame_idx,rms_contrast,optical_flow,unpredictability_h1_euclidean,unpredictability_h2_euclidean,unpredictability_h3_euclidean
latent_step,1.0,1.0,0.5736420887551644,0.27716130792277893,-0.345412483779653,-0.3518279725139572,-0.36333410361201535
raw_frame_idx,1.0,1.0,0.5736420887551644,0.27716130792277893,-0.345412483779653,-0.3518279725139572,-0.36333410361201535
rms_contrast,0.5736420887551644,0.5736420887551644,1.0,0.8194830045300113,-0.3708722637135673,-0.3883987964327624,-0.3796064438398664
optical_flow,0.27716130792277893,0.27716130792277893,0.8194830045300113,1.0,-0.26342030174602493,-0.2829878086560426,-0.2692982089899675
unpredictability_h1_euclidean,-0.345412483779653,-0.345412483779653,-0.3708722637135673,-0.26342030174602493,1.0,0.9428126841154775,0.9142876435312254
unpredictability_h2_euclidean,-0.3518279725139572,-0.3518279725139572,-0.3883987964327624,-0.2829878086560426,0.9428126841154775,1.0,0.96758102597427
unpredictability_h3_euclidean,-0.36333410361201535,-0.36333410361201535,-0.3796064438398664,-0.2692982089899675,0.9142876435312254,0.96758102597427,1.0
