,latent_step,raw_frame_idx,rms_contrast,optical_flow,unpredictability_h2_euclidean,unpredictability_h4_euclidean,unpredictability_h8_euclidean
latent_step,1.0,1.0,-0.08681204437845311,-0.10764475593864914,-0.004538624150197258,-0.015992026616379308,-0.01867289152025164
raw_frame_idx,1.0,1.0,-0.08681204437845311,-0.10764475593864914,-0.004538624150197258,-0.015992026616379308,-0.01867289152025164
rms_contrast,-0.08681204437845311,-0.08681204437845311,1.0,0.8227579207645501,-0.1946539929826429,-0.06309689743219325,-0.025117015528634924
optical_flow,-0.10764475593864914,-0.10764475593864914,0.8227579207645501,1.0,-0.21636276264284088,-0.09334826034208574,-0.08267080825147985
unpredictability_h2_euclidean,-0.004538624150197258,-0.004538624150197258,-0.1946539929826429,-0.21636276264284088,1.0,0.8593806232702567,0.6662443698004283
unpredictability_h4_euclidean,-0.015992026616379308,-0.015992026616379308,-0.06309689743219325,-0.09334826034208574,0.8593806232702567,1.0,0.7791587168934645
unpredictability_h8_euclidean,-0.01867289152025164,-0.01867289152025164,-0.025117015528634924,-0.08267080825147985,0.6662443698004283,0.7791587168934645,1.0
