latent_step,raw_frame_idx,rms_contrast,optical_flow,unpredictability_h4_euclidean,unpredictability_h8_euclidean,unpredictability_h12_euclidean
0,0,0.7629003055764988,1.1438711,110.32003784179688,109.90064239501953,109.50789642333984
1,4,0.7778239693362088,1.0902209,107.68828582763672,108.33364868164062,108.48074340820312
2,8,1.000985205336267,1.0114163,110.01448059082031,109.89733123779297,109.85379028320312
3,12,0.7399334125781334,0.99325246,108.74409484863281,109.00837707519531,109.17474365234375
4,16,0.6618116009608431,0.9374722,108.52122497558594,108.45537567138672,108.42418670654297
5,20,0.717856796825387,1.013419,105.98971557617188,105.99772644042969,106.13168334960938
6,24,0.6812467456950853,0.8499971,110.85519409179688,110.36454010009766,109.77599334716797
7,28,0.6187875205976816,0.75643754,110.49962615966797,110.37921142578125,110.42588806152344
8,32,0.0,0.00019625082,110.5000991821289,110.36419677734375,110.3860855102539
9,36,0.5669034691731553,0.7430157,110.12181091308594,109.94124603271484,109.9520034790039
10,40,0.5619541490548873,0.60946375,110.6451187133789,110.45829772949219,110.44291687011719
11,44,0.0,0.00020596333,108.25445556640625,107.97494506835938,107.71064758300781
12,48,0.45671148773540177,0.47892252,106.3265151977539,106.10013580322266,106.03276824951172
13,52,0.5612420173579016,0.4408759,105.458251953125,105.45462036132812,105.58138275146484
14,56,0.479126349324012,0.53010285,107.80937194824219,107.7168960571289,107.6880874633789
15,60,0.5456674698277113,0.48336908,109.91364288330078,109.76142120361328,109.65483093261719
16,64,0.5546021313579881,0.47834074,106.92172241210938,106.56156921386719,106.46842193603516
17,68,0.5656228835896951,0.5410238,106.21167755126953,106.23848724365234,106.26654052734375
18,72,0.5567585670836851,0.55409425,104.29094696044922,104.23455047607422,104.28604888916016
19,76,0.5547639911062927,0.5931873,107.68690490722656,107.65959930419922,107.61360931396484
20,80,0.5783750012354353,0.606511,108.26531982421875,108.0491714477539,107.82481384277344
21,84,0.6572526029093283,0.5880488,107.32010650634766,108.03469848632812,108.355712890625
22,88,0.587320278664794,0.5787351,110.31118774414062,110.11627960205078,109.98094940185547
23,92,0.488161598320871,0.5891315,111.10843658447266,110.89913940429688,110.46336364746094
24,96,0.052292821958761095,0.027880201,110.46365356445312,110.31796264648438,110.21031188964844
25,100,0.5524630167249354,0.6534472,109.08719635009766,108.80581665039062,107.99234771728516
26,104,0.5014059939634508,0.6517855,109.49663543701172,109.08029174804688,108.81112670898438
27,108,0.49373999574350597,0.629982,107.71588897705078,107.58602905273438,107.63529968261719
28,112,0.6442136682485597,0.5814884,104.75425720214844,104.57423400878906,104.52359008789062
29,116,0.5634035255212565,0.7553551,107.10635375976562,106.80399322509766,106.60912322998047
30,120,0.48991878035454944,0.6586797,105.62159729003906,105.4744644165039,105.42418670654297
31,124,0.5739989522960753,0.6959558,103.86493682861328,103.8818130493164,103.92041015625
32,128,0.43423388106506483,0.5025799,105.97001647949219,105.64252471923828,105.27542877197266
33,132,0.4717131057274358,0.54786974,108.4671630859375,108.57504272460938,108.68164825439453
34,136,0.41790464864478116,0.42820942,109.40904235839844,109.06552124023438,108.67446899414062
35,140,0.483186039624722,0.52017826,108.28072357177734,107.73628234863281,107.5831527709961
36,144,0.3903886442886889,0.42610365,106.87002563476562,106.7908935546875,106.67993927001953
