latent_step,raw_frame_idx,rms_contrast,optical_flow,unpredictability_h4,unpredictability_h8,unpredictability_h12
0,0,48.11643272973793,1.7041519,0.5416834354400635,0.5859359502792358,0.5669688582420349
1,4,53.02222242817313,2.365831,0.5051136612892151,0.5241047143936157,0.5107773542404175
2,8,54.86216568644107,3.6421585,0.5665876865386963,0.5904861688613892,0.5904836058616638
3,12,56.058845657440564,5.005259,0.557969331741333,0.5434295535087585,0.5369066596031189
4,16,58.35583450957647,6.7941403,0.5591926574707031,0.5302883982658386,0.5158613920211792
5,20,59.631277426558874,5.2171645,0.6193301677703857,0.635768473148346,0.6552169919013977
6,24,57.082539082090165,4.7133045,0.518940806388855,0.4839993715286255,0.47697925567626953
7,28,57.14854448847227,1.5791527,0.49574360251426697,0.4701366424560547,0.47056177258491516
8,32,57.451327221893266,0.8927409,0.44964903593063354,0.45907267928123474,0.46770524978637695
9,36,56.35490480221317,0.67430186,0.469075471162796,0.4712081551551819,0.4815569818019867
10,40,57.8401897219949,0.56964993,0.3932662606239319,0.3892589211463928,0.38678625226020813
11,44,57.90675329927439,0.47145188,0.4030986428260803,0.3922775387763977,0.3857194483280182
12,48,57.90639035546529,0.43317446,0.47395578026771545,0.44973406195640564,0.427888423204422
13,52,58.68327282571084,0.34724638,0.44375529885292053,0.45884227752685547,0.4639568328857422
14,56,58.5775006844167,0.18760234,0.32151371240615845,0.33211368322372437,0.34183815121650696
15,60,58.96044886727072,0.19886157,0.37790918350219727,0.38317614793777466,0.39048993587493896
16,64,59.05006916032098,0.3035379,0.3536961078643799,0.3299396336078644,0.3186924457550049
17,68,59.307045853983425,0.24532302,0.34620803594589233,0.3335588276386261,0.32613781094551086
