latent_step,raw_frame_idx,rms_contrast,optical_flow,unpredictability_h4_cosine,unpredictability_h4_euclidean,unpredictability_h8_cosine,unpredictability_h8_euclidean,unpredictability_h12_cosine,unpredictability_h12_euclidean
0,0,0.6725822576164859,0.44777197,0.5902408361434937,59.012203216552734,0.5970734357833862,59.24123001098633,0.5975707173347473,59.255680084228516
1,4,0.5566694675370667,0.4351468,0.5271401405334473,57.54212951660156,0.5139354467391968,57.22781753540039,0.5084688663482666,57.01227951049805
2,8,0.5976060549991435,0.43001562,0.48647627234458923,56.36005401611328,0.5020009875297546,56.76480484008789,0.5145915150642395,57.00956344604492
3,12,0.5582598405443862,0.43439966,0.4429313540458679,54.446693420410156,0.4609762728214264,55.103111267089844,0.47000381350517273,55.3754768371582
4,16,0.8601170631048789,0.46242794,0.47492438554763794,55.5048942565918,0.5006535053253174,56.34856033325195,0.5018971562385559,56.3896369934082
5,20,0.9369128731092659,0.35791534,0.4723106622695923,55.5394172668457,0.4677479565143585,55.41472625732422,0.47228285670280457,55.6348991394043
6,24,0.6999915866181446,0.50640607,0.5387948751449585,57.7823486328125,0.5651267170906067,58.38197326660156,0.568401575088501,58.532596588134766
7,28,0.8600765413420436,0.5401733,0.47301292419433594,55.501548767089844,0.48936155438423157,55.93259811401367,0.5033326745033264,56.37632751464844
8,32,0.7571893478468334,0.47240904,0.49255600571632385,56.81761932373047,0.48906242847442627,56.730735778808594,0.4913053810596466,56.67903137207031
9,36,0.5086140902184945,0.381647,0.6892367601394653,62.53974533081055,0.6705349683761597,61.74265670776367,0.6479740738868713,60.67378234863281
10,40,0.46514279971444983,0.36484572,0.5396925210952759,57.71010208129883,0.5442687273025513,57.960304260253906,0.5485661625862122,57.865169525146484
11,44,0.38877923471508885,0.35336137,0.5554068088531494,57.9530143737793,0.5746796727180481,58.56121826171875,0.5856113433837891,58.80756759643555
12,48,0.4942973490526775,0.33339053,0.6231116056442261,60.11111068725586,0.6236693859100342,60.02238464355469,0.6198866963386536,59.9718132019043
13,52,0.5277557311979911,0.46857256,0.4606187343597412,56.50490188598633,0.5078006982803345,57.107357025146484,0.5438917279243469,57.948726654052734
14,56,0.7043904539090563,0.4231118,0.47287166118621826,55.609588623046875,0.49838393926620483,56.13698959350586,0.5170153975486755,56.92243957519531
15,60,0.8061509593893879,0.6450867,0.47914445400238037,55.74494934082031,0.48879706859588623,55.922306060791016,0.4879058301448822,56.258060455322266
