latent_step,raw_frame_idx,rms_contrast,optical_flow,unpredictability_h4,unpredictability_h8,unpredictability_h12
0,0,37.06803979534337,0.23423886,0.34319618344306946,0.3873174786567688,0.43041887879371643
1,4,36.804091458134764,0.37096402,0.46793437004089355,0.47500625252723694,0.4849766492843628
2,8,37.395173865378936,0.32545006,0.48050472140312195,0.5077847242355347,0.5200217366218567
3,12,36.5731788824321,0.22295094,0.36555689573287964,0.4120849072933197,0.43001580238342285
4,16,36.13496065365717,0.34916708,0.4852820634841919,0.5510973334312439,0.5517662763595581
5,20,34.16725955179872,0.503528,0.5149244666099548,0.5024383664131165,0.4980228841304779
