latent_step,raw_frame_idx,rms_contrast,optical_flow,unpredictability_h4_cosine,unpredictability_h4_euclidean,unpredictability_h8_cosine,unpredictability_h8_euclidean,unpredictability_h12_cosine,unpredictability_h12_euclidean
0,0,0.47258588830179676,0.2322455,0.663812518119812,61.817405700683594,0.5089868903160095,58.2575798034668,0.5391097068786621,58.81583786010742
1,4,0.4404707572059304,0.40507844,0.6286947727203369,60.640357971191406,0.5608865022659302,59.21711730957031,0.6247660517692566,60.65399169921875
2,8,0.4420738566632443,0.51621604,0.5625925064086914,58.84130859375,0.5188874006271362,57.75531768798828,0.5131196975708008,57.547176361083984
3,12,0.3323152112839411,0.32382366,0.4415375590324402,56.646732330322266,0.6680808067321777,62.42730712890625,0.46522441506385803,57.1969108581543
4,16,0.2912850196389302,0.20884971,0.5765029191970825,59.70546340942383,0.5655516982078552,59.31035614013672,0.5431658625602722,58.59721755981445
5,20,0.175417158767329,0.16520774,0.5861543416976929,59.863773345947266,0.5644352436065674,59.095680236816406,0.5643441081047058,58.939910888671875
6,24,0.31090030082510733,0.23430851,0.4709184169769287,56.82573318481445,0.47565484046936035,56.685672760009766,0.5316820740699768,58.16627502441406
7,28,0.3439698640358681,0.3238794,0.5724356174468994,59.395843505859375,0.5694741606712341,59.07374572753906,0.5722282528877258,59.17006301879883
8,32,0.26286811479127714,0.23972985,0.5696367621421814,59.39741134643555,0.5502820014953613,58.75789260864258,0.5371593236923218,58.634765625
9,36,0.3360663363513664,0.28000626,0.6424229145050049,60.97600555419922,0.6283119320869446,60.47045135498047,0.6316483020782471,60.84902572631836
10,40,0.33895572523528433,0.25286832,0.49980103969573975,57.160560607910156,0.7007974982261658,63.49147415161133,0.6932633519172668,63.573062896728516
11,44,0.45770442279681434,0.48326287,0.5613973736763,58.633140563964844,0.547946572303772,58.4990234375,0.555925190448761,59.17055130004883
12,48,0.33770050753174047,0.27978343,0.5943582653999329,59.47775650024414,0.5885058641433716,59.66680145263672,0.5816465020179749,59.951080322265625
13,52,0.009584275594625902,0.0059435675,0.5216085910797119,57.518802642822266,0.5190634727478027,58.01591110229492,0.5110428333282471,58.1517448425293
14,56,0.537012503777113,0.55213064,0.5673450827598572,58.756629943847656,0.5464873313903809,58.74058151245117,0.5180602669715881,58.03530502319336
15,60,0.64382142510496,0.68094915,0.49641573429107666,57.63822937011719,0.6424509286880493,61.840145111083984,0.6588395237922668,62.3625602722168
16,64,0.5506132166127011,0.51985884,0.5424193739891052,58.73751449584961,0.4727971851825714,57.81718826293945,0.46178388595581055,57.3814582824707
17,68,0.5418495832706279,0.6500452,0.683952808380127,63.451595306396484,0.6107883453369141,61.06085205078125,0.4935589134693146,58.22189712524414
18,72,1.6007488483064773,0.72145486,0.4692280888557434,57.518672943115234,0.5152991414070129,58.60019302368164,0.5236073136329651,58.51164245605469
19,76,1.7346423931562756,3.2139912,0.46852555871009827,57.83856964111328,0.6530678272247314,62.40517044067383,0.6603646278381348,62.493316650390625
20,80,1.969101353055849,4.0989165,0.4275773763656616,56.41505432128906,0.48135656118392944,57.47509765625,0.5659779906272888,59.48104476928711
21,84,1.7016500306188929,2.8163977,0.587092399597168,60.564640045166016,0.5793635845184326,59.86806869506836,0.5836817622184753,59.787479400634766
22,88,1.9201390931655846,6.1982083,0.6479184627532959,62.057472229003906,0.515579879283905,58.225807189941406,0.5012882351875305,57.664485931396484
23,92,1.7575552983278961,3.085702,0.5614055395126343,59.13888168334961,0.5527105331420898,58.73419952392578,0.5404884815216064,58.31403732299805
24,96,1.7451256264918338,1.2699069,0.593701958656311,59.87371063232422,0.5527518391609192,58.66578674316406,0.5345385670661926,58.0879020690918
25,100,1.2121782650027735,1.29186,0.42917805910110474,55.20771789550781,0.42342281341552734,54.928001403808594,0.42852655053138733,55.054141998291016
26,104,0.00015766160687422456,0.00053956406,0.4692463278770447,56.50208282470703,0.4641406834125519,56.14551544189453,0.4619620740413666,56.2222785949707
27,108,0.9325164207639399,0.7736209,0.5235241651535034,57.638465881347656,0.5197900533676147,57.491241455078125,0.5161241888999939,57.40352249145508
28,112,1.0160405695161752,0.81848454,0.6065871715545654,60.226173400878906,0.6867933869361877,63.071937561035156,0.6842610836029053,63.04804992675781
29,116,0.9275444419703635,0.6304324,0.47679126262664795,56.83600616455078,0.5042003989219666,57.355567932128906,0.5270079374313354,57.758697509765625
30,120,1.0744638836261418,0.76480556,0.5252172946929932,58.03363800048828,0.4846433997154236,57.02164077758789,0.4806894063949585,56.973636627197266
31,124,0.9967882112655214,0.7246626,0.5599941611289978,58.77565002441406,0.5141816735267639,57.55211639404297,0.5070754885673523,57.23686599731445
32,128,0.8815639152495077,0.72017324,0.5927352905273438,59.64693069458008,0.5099514722824097,57.70581817626953,0.49627685546875,57.29050064086914
33,132,1.1927325662629085,0.8934213,0.5626994371414185,58.99250793457031,0.5286867618560791,57.96983337402344,0.5492927432060242,58.32478332519531
34,136,1.2619944568857777,0.9590862,0.4421360492706299,55.76435089111328,0.43888622522354126,55.562095642089844,0.4413737952709198,55.49135208129883
35,140,0.9152131850523799,0.6077902,0.5312101244926453,58.12656021118164,0.49891379475593567,57.1097412109375,0.4871661365032196,56.675479888916016
